Loan_ID,loan_status,Principal,terms,effective_date,due_date,paid_off_time,past_due_days,age,education,Gender
xqd20161085,COLLECTION,1000,30,9/11/2016,10/10/2016,,59,29,High School or Below,male
xqd20160435,PAIDOFF,800,15,9/12/2016,9/26/2016,9/25/2016 13:29,,24,college,male
xqd20160944,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,23,High School or Below,male
xqd20160085,PAIDOFF,1000,30,9/11/2016,10/10/2016,10/10/2016 13:00,,37,High School or Below,female
xqd20160134,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/30/2016 7:12,,33,college,female
xqd20160475,PAIDOFF,800,30,9/11/2016,10/10/2016,10/10/2016 16:00,,39,High School or Below,male
xqd20160466,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/22/2016 10:30,,24,High School or Below,male
xqd20160604,PAIDOFF,1000,15,9/10/2016,10/9/2016,10/9/2016 16:00,,27,college,male
xqd20160786,PAIDOFF,1000,30,9/12/2016,10/11/2016,10/11/2016 16:00,,31,High School or Below,female
xqd20160566,PAIDOFF,1000,15,9/12/2016,9/26/2016,9/26/2016 13:00,,34,Bechalor,female
xqd20161397,COLLECTION_PAIDOFF,1000,30,9/12/2016,10/11/2016,10/15/2016 9:23,4,26,High School or Below,male
xqd20161040,COLLECTION,1000,15,9/11/2016,9/25/2016,,74,39,High School or Below,male
xqd20161248,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/13/2016 16:27,3,26,college,male
xqd20161302,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/11/2016 16:13,1,28,college,male
xqd20161148,COLLECTION,800,30,9/10/2016,10/9/2016,,60,40,college,male
xqd20160860,PAIDOFF,1000,15,9/11/2016,9/25/2016,9/20/2016 5:38,,19,High School or Below,male
xqd20160813,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/27/2016 7:02,,33,High School or Below,female
xqd20160751,PAIDOFF,1000,15,9/11/2016,10/25/2016,10/25/2016 9:00,,29,college,male
xqd20160081,PAIDOFF,1000,30,9/11/2016,10/10/2016,9/21/2016 16:18,,28,High School or Below,male
xqd20160880,PAIDOFF,800,15,9/12/2016,9/26/2016,9/20/2016 8:26,,31,college,male
xqd20160290,PAIDOFF,800,15,9/14/2016,9/28/2016,9/27/2016 7:48,,28,High School or Below,male
xqd20161192,COLLECTION,800,15,9/11/2016,9/25/2016,,74,35,High School or Below,male
xqd20161385,COLLECTION_PAIDOFF,1000,30,9/11/2016,10/10/2016,10/12/2016 14:32,2,26,college,male
xqd20160282,PAIDOFF,1000,15,9/14/2016,9/28/2016,9/28/2016 9:00,,28,Bechalor,male
